Token,Trade/CA,Price,Market Cap,30m Change,24h Change,24h Volume,Liquidity & Trades (24h),Holders,Age,Ticker,Contract Address,Dexscreener URL,Twitter
"PCULE
Polycule",TRADE,0.021237,$21.24M,↓2.00%,↑8.65%,$789.25K,"LIQ: $2.49M



Buy: 2.44K
Sell: 1.30K",6K,5mo,PCULE,J27UYHX5oeaG1YbUGQc8BmJySXDjNWChdGB2Pi2TMDAq,https://dexscreener.com/solana/31XQoDaYuzA43YyZ3xhLaFV6km6o4XsEPvTSMAhe15SJ,https://x.com/pmx_trade
"AVO
avo",TRADE,0.014729,$14.73M,↑0.89%,↑11.19%,$177.74K,"LIQ: $1.11M



Buy: 941
Sell: 597",8K,4mo,AVO,GdZ9rwHyKcriLdbSzhtEFLe5MLs7Vk6AY1aE5ei7nsmP,https://dexscreener.com/solana/GGZ2n9MNaPSZsXVYwc9Ka2oneRQeP6MELSPeqoLpjA9m,https://x.com/avodotso
"VIRUS
VIRUS",TRADE,0.013724,$13.72M,↓3.52%,↓5.88%,$110.64K,"LIQ: $664.05K



Buy: 491
Sell: 538",5K,3mo,VIRUS,DdcvRiEs4k2fXbHqeJBS5jgGD93rj1wu6u8WTL4vmBLV,https://dexscreener.com/solana/9MyGh3jC2cxHGEnd7E77S9BZLAioYrZgGwLsfcr8Zvsd,https://x.com/pndmdotorg
"DUPE
Dupe",TRADE,0.012824,$12.82M,↓3.17%,↓5.07%,$523.93K,"LIQ: $1.60M



Buy: 1.75K
Sell: 1.60K",7K,5mo,DUPE,fRfKGCriduzDwSudCwpL7ySCEiboNuryhZDVJtr1a1C,https://dexscreener.com/solana/2vh4287iSY87oZxdT9LpS8vnRZzaWeJ47WiR71A9tX4P,https://x.com/dupe_solana
"ORGO
Orgo",TRADE,0.006118,$6.12M,↓3.90%,↓12.03%,$268.21K,"LIQ: $359.67K



Buy: 596
Sell: 648",2K,3mo,ORGO,G85CQEBqwsoe3qkb5oXXpdZFh7uhYXhDRsQAM4aJuBLV,https://dexscreener.com/solana/A23Xq4nV8hwjG6aUR61nYb5Kvgt3DgbVKeVbdiiW8ZWH,https://x.com/orgohq
"VIVA
VIVA",TRADE,0.005771,$5.77M,↑0.59%,↓2.35%,$46.77K,"LIQ: $566.77K



Buy: 225
Sell: 264",3K,3mo,VIVA,HaCUz8NfR9LqWVQvXqYxR2ast9BHsEScdgS941LKeBLV,https://dexscreener.com/solana/J2s7qLUqXwa8y4JPZy9wC2Pg3JjBm2Ykj4thonEkKG2Y,https://x.com/vivabo
"DIRA
AgentHub",TRADE,0.004859,$4.85M,↓8.14%,↑58.08%,$3.31M,"LIQ: $662.02K



Buy: 6.37K
Sell: 6.34K",3K,5mo,DIRA,CuXmQvh4DVTdWBdC2d3pNq8UXqbKJ3w9RPBTAALcKcTb,https://dexscreener.com/solana/SzyaCUMsQxG98zWMgZnM7orDfHAGSregtPERgBSpUSo,https://x.com/AIAgentsHub
"ADLOWS
ADLOWS",TRADE,0.004825,$4.82M,↓10.22%,↑7.17%,$450.91K,"LIQ: $642.82K



Buy: 744
Sell: 728",2K,3w,ADLOWS,9WATFMyK81EipUFgM5JVTinSTMmoPT4pb9pHHJt9jups,https://dexscreener.com/solana/HmspHttxxjdH6ynXUpfZBQhzoxbCPT4ymaerdenrLnqJ,
"COPY
copy trades",TRADE,0.004594,$4.59M,↓3.34%,↓7.93%,$140.43K,"LIQ: $542.42K



Buy: 665
Sell: 478",2K,5mo,COPY,4W7cM6SUuqhv9jp2t3jfmonXzNbDsJt5PCWqt7w1Axa2,https://dexscreener.com/solana/AHYuhQvk7ASY9zDhMeFEfCRhKwVzTxsRSJh2j7TGECe3,https://x.com/rainmakerdotfun
"STARTUP
Startup",TRADE,0.004375,$4.33M,↑3.84%,↑29.29%,$455.57K,"LIQ: $568.49K



Buy: 1.33K
Sell: 1.05K",9K,5mo,STARTUP,97PVGU2DzFqsAWaYU17ZBqGvQFmkqtdMywYBNPAfy8vy,https://dexscreener.com/solana/6ZvXsZZAX2ffB5MXEuNBgdXScdZpnmyw42ZxaAKVnGmj,https://x.com/startuponsol
