Token,Trade/CA,Price,Market Cap,30m Change,24h Change,24h Volume,Liquidity & Trades (24h),Holders,Age
"PCULE
Polycule",TRADE,0.021237,$21.24M,↓2.00%,↑8.65%,$789.25K,"LIQ: $2.49M



Buy: 2.44K
Sell: 1.30K",6K,5mo
"AVO
avo",TRADE,0.014729,$14.73M,↑0.89%,↑11.19%,$177.74K,"LIQ: $1.11M



Buy: 941
Sell: 597",8K,4mo
"VIRUS
VIRUS",TRADE,0.013724,$13.72M,↓3.52%,↓5.88%,$110.64K,"LIQ: $664.05K



Buy: 491
Sell: 538",5K,3mo
"DUPE
Dupe",TRADE,0.012824,$12.82M,↓3.17%,↓5.07%,$523.93K,"LIQ: $1.60M



Buy: 1.75K
Sell: 1.60K",7K,5mo
"ORGO
Orgo",TRADE,0.006118,$6.12M,↓3.90%,↓12.03%,$268.21K,"LIQ: $359.67K



Buy: 596
Sell: 648",2K,3mo
"VIVA
VIVA",TRADE,0.005771,$5.77M,↑0.59%,↓2.35%,$46.77K,"LIQ: $566.77K



Buy: 225
Sell: 264",3K,3mo
"DIRA
AgentHub",TRADE,0.004859,$4.85M,↓8.14%,↑58.08%,$3.31M,"LIQ: $662.02K



Buy: 6.37K
Sell: 6.34K",3K,5mo
"ADLOWS
ADLOWS",TRADE,0.004825,$4.82M,↓10.22%,↑7.17%,$450.91K,"LIQ: $642.82K



Buy: 744
Sell: 728",2K,3w
"COPY
copy trades",TRADE,0.004594,$4.59M,↓3.34%,↓7.93%,$140.43K,"LIQ: $542.42K



Buy: 665
Sell: 478",2K,5mo
"STARTUP
Startup",TRADE,0.004375,$4.33M,↑3.84%,↑29.29%,$455.57K,"LIQ: $568.49K



Buy: 1.33K
Sell: 1.05K",9K,5mo
"SANA
Sanafi Onchain",TRADE,0.004251,$4.25M,↓4.74%,↑11.39%,$705.48K,"LIQ: $532.29K



Buy: 2.20K
Sell: 2.21K",2K,4mo
"KARMA
Karma",TRADE,0.003404,$3.39M,↑2.78%,↑12.86%,$305.97K,"LIQ: $515.63K



Buy: 438
Sell: 452",2K,5mo
"FITCOIN
FITCOIN",TRADE,0.003658,$3.38M,↓0.12%,↓10.54%,$224.95K,"LIQ: $504.04K



Buy: 492
Sell: 617",4K,5mo
"ZDLT
Zirodelta Light",TRADE,0.002526,$2.53M,↑0.30%,↑21.62%,$176.82K,"LIQ: $400.21K



Buy: 510
Sell: 417",2K,4mo
"PASTERNAK
Ben Pasternak",TRADE,0.002387,$2.39M,↑7.63%,↑4.36%,$107.27K,"LIQ: $447.01K



Buy: 106
Sell: 99",593,1mo
"OK
okbet",TRADE,0.002143,$2.14M,↓2.95%,↓8.42%,$297.01K,"LIQ: $424.96K



Buy: 367
Sell: 351",2K,5mo
"HEDGEMONY
hedgemony",TRADE,0.002139,$2.14M,↓1.61%,↓9.80%,$45.14K,"LIQ: $0



Buy: 126
Sell: 112",659,2mo
"KNET
Kingnet AI",TRADE,0.001994,$1.99M,↓3.96%,↓6.30%,$46.17K,"LIQ: $312.20K



Buy: 103
Sell: 94",6K,5mo
"LOS
ANALOS",TRADE,0.00194,$1.93M,↓0.35%,↓7.42%,$81.39K,"LIQ: $364.84K



Buy: 321
Sell: 323",2K,2mo
"GIGGLES
Giggles",TRADE,0.001842,$1.84M,↑3.48%,↑13.65%,$101.64K,"LIQ: $332.83K



Buy: 411
Sell: 302",2K,5mo
"FDRY
Foundry",TRADE,0.001731,$1.73M,↓6.07%,↑17.28%,$90.62K,"LIQ: $291.62K



Buy: 154
Sell: 97",847,4mo
"RECC
RECC",TRADE,0.001603,$1.57M,↓2.04%,↓10.06%,$248K,"LIQ: $335.84K



Buy: 847
Sell: 594",2K,3mo
